sample ID	sequencing platform	eDNA sample	replicate
1903c111_10m-1	Illumina	1903c111_10m-1	1
1903c111_10m-2	Illumina	1903c111_10m-2	2
1903c111_10m-3	PacBio	1903c111_10m-3	3
1903c117_50m-1	Illumina	1903c117_50m-1	1
1903c117_50m-2	Illumina	1903c117_50m-2	2
1903c117_50m-3	PacBio	1903c117_50m-3	3
1903c118_23m-2	Illumina	1903c118_23m-2	2
1903c118_23m-3	PacBio	1903c118_23m-3	3
1903c119_11m-2	Illumina	1903c119_11m-2	2
1903c119_11m-3	PacBio	1903c119_11m-3	3
1903c122_28m-1	Illumina	1903c122_28m-1	1
1903c122_28m-2	Illumina	1903c122_28m-2	2
1903c122_28m-3	PacBio	1903c122_28m-3	3
1903c123_10m-1	Illumina	1903c123_10m-1	1
1903c123_10m-2	Illumina	1903c123_10m-2	2
1903c123_10m-3	PacBio	1903c123_10m-3	3
1903c124_15m-1	Illumina	1903c124_15m-1	1
1903c124_15m-2	Illumina	1903c124_15m-2	2
1903c124_15m-3	PacBio	1903c124_15m-3	3
1903c126_45m-1	Illumina	1903c126_45m-1	1
1903c126_45m-2	Illumina	1903c126_45m-2	2
1903c126_45m-3	PacBio	1903c126_45m-3	3
1903c127_7m-1	Illumina	1903c127_7m-1	1
1903c127_7m-2	Illumina	1903c127_7m-2	2
1903c127_7m-3	PacBio	1903c127_7m-3	3
1903c129_26m-1	Illumina	1903c129_26m-1	1
1903c129_26m-2	Illumina	1903c129_26m-2	2
1903c129_26m-3	PacBio	1903c129_26m-3	3
1903c144_13m-2	Illumina	1903c144_13m-2	2
1903c144_13m-3	PacBio	1903c144_13m-3	3
Las19c107_10m-1	Illumina	Las19c107_10m-1	1
Las19c107_10m-2	Illumina	Las19c107_10m-2	2
Las19c107_10m-3	PacBio	Las19c107_10m-3	3
Las19c135_5m-1	Illumina	Las19c135_5m-1	1
Las19c135_5m-2	Illumina	Las19c135_5m-2	2
Las19c135_5m-3	PacBio	Las19c135_5m-3	3
Las19c138_27m-1	Illumina	Las19c138_27m-1	1
Las19c138_27m-3	PacBio	Las19c138_27m-3	3
